,,JACOBS DOUWE EGBERTS CZ s.r.o.,,,,,Č. faktury,,4940335729,
,,"Pujmanové 1753/10a, 140 00, Praha 4 – Nusle",,,,,,,,
,,,,,,Datum vystavení,,,24.03.2025,
,,IČ: 45245738,,,,,,,,
,,DIČ: CZ45245738,,,,,Objednávka,,940256947,
,,www.jacobsdouweegberts.cz,,,,,,,,
,,,,,,Dodací list,,,2940277578,
,,E-mail: zs-dep@jdecoffee.com,,,,,,,,
,,Bankovní účet: 17808583/0300,,,,,DUZP,,21.03.2025,
,,Adresa odběratele,1286356,DIČ,CZ00553557,Fakturační adresa,1280886,,,
,,IČ,00553557,,,,,,,
,,HOTEL METROPOL,,,,"SPECIAL TOURS PRAGUE,",,,,
,,NÁRODNÍ 1036/33,,,,Panská 897/12,,,,
,,00 ,PRAHA 1 CZ,,,"110 00 Praha 1, Nové Město CZ",,,,
DAŇOVÝ DOKLAD,,,,,,,,,,
,,,Celkem,,,Cena/,Recyklační,Sleva/,Cena bez,Cena bez DPH
EAN kód,Interní kód,Popis,Dod. jedn.,Množství,,,,,Sazba DPH,
,,,,,ks,jednotka,poplatek,jednotka,DPH/jednotka,celkem
8711000485996,4060952,"PW TMS ZÁZVOROVÝ RA 25X1,75GX4",BOX,4,2,"349,50","349,50","699,00",12%,
8711000487051,4060958,"PW TMS EARL GREY RA 25X1,6GX4",BOX,4,3,"349,50","349,50","1.048,50",12%,
8711000487068,4060959,PW TMS ENGLISH BREAKFAST RA 25X2GX4,BOX,4,6,"349,50","349,50","2.097,00",12%,
8711000487037,4060956,"PW TMS ZELENÝ RA 25X1,5GX4",BOX,4,3,"349,50","349,50","1.048,50",12%,
,,Cena bez DPH celkem,,,,,,"4.893,00",,
,,Datum splatnosti a částka,,,,Součet bez DPH,,,"4.893,00",
Dodací adresa,1286356,Adresa plátce,1283036,,,,,,,
,,,,,,Sazba DPH,Částka bez DPH,Částka DPH,,
,,04.04.2025,"5.480,16",,Částka celkem,,,,,
,,,,,,12%,"4.893,00",,"587,16",
HOTEL METROPOL,,"Special Tours Prague, spol. s r. o.",Platební podmínky,,,,,,,
NÁRODNÍ 1036/33,,Panská 897/12,,,,,,,,
00 ,PRAHA 1 CZ,"110 00 Praha 1, Nové Město CZ",,,,,,,,
,,,CZ-14 days after issue invoice date,,,,,,,
,,,,,,Celkem k úhradě,"5.480,16",CZK,,
,,"JACOBS DOUWE EGBERTS CZ s.r.o. je zapsána v obchodním rejstříku Městského soudu v Praze, oddíl C, vložka 184633. Jako variabilní symbol platby uvádějte číslo faktury. Výrobky označené BIO",,,,,,,,
,,jsou pod kontrolou BIO certifikace – CZ-BIO-003,,,,,,,Strana 1 / 1,
